index,host,source,sourcetype,"_raw","_time"
it,localhost,mint,"mint:network","{""timestamp"": ""1481047200"",""connection"": ""3G"", ""transactions"": [], ""statusCode"": 500, ""platform"": ""android"", ""extraData"": {""jsessionid"": 2358621, ""member"": ""regular"", ""sex"": ""male"", ""color"": ""Blue""}, ""packageName"": ""com.acme.app"", ""apiKey"": ""ef1f7539"", ""requestLength"": 278, ""url"": ""/api/rest"", ""screenOrientation"": ""landscape"", ""remoteIP"": ""219.245.66.254"", ""session_id"": 18817036, ""protocol"": ""HTTP"", ""responseLength"": 1881, ""sdkVersion"": ""4.0.8"", ""uuid"": ""5014e36cad204744aae4df682636a612"", ""locale"": ""UK"", ""userIdentifier"": ""lsims9c"", ""failed"": ""False"", ""exception"": null, ""appVersionName"": ""4.4"", ""osVersion"": 4.9, ""appVersionCode"": 5, ""device"": ""iPhone 6"", ""latency"": 2677, ""carrier"": ""AT&T"", ""state"": ""connecting""}
","2016-12-06T18:00:00.000+0000"
it,localhost,mint,"mint:network","{""timestamp"": ""1481047200"",""connection"": ""4G"", ""transactions"": [], ""statusCode"": 500, ""platform"": ""android"", ""extraData"": {""jsessionid"": 9116787, ""member"": ""regular"", ""sex"": ""male"", ""color"": ""Blue""}, ""packageName"": ""com.acme.app"", ""apiKey"": ""ef1f7539"", ""requestLength"": 180, ""url"": ""/api/rest"", ""screenOrientation"": ""landscape"", ""remoteIP"": ""41.150.149.144"", ""session_id"": 44266841, ""protocol"": ""HTTP"", ""responseLength"": 350, ""sdkVersion"": ""4.0.4"", ""uuid"": ""5014e36cad204744aae4df682636a600"", ""locale"": ""CH"", ""userIdentifier"": ""srossck"", ""failed"": ""True"", ""exception"": null, ""appVersionName"": ""4.1"", ""osVersion"": 3.5, ""appVersionCode"": 3, ""device"": ""iPhone 5"", ""latency"": 2198, ""carrier"": ""AT&T"", ""state"": ""connecting""}
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 117.62.65.162 %FWSM-6-302016: Teardown UDP connection 261929641 for acme_Application:117.62.65.162/47417 to acme_Corp:117.62.65.162/53 duration 0:00:00 bytes 208
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 116.89.23.117 %FWSM-3-710003: tcp access denied by ACL from 116.89.23.117/34506 to acme_Corp:116.89.23.117/1501
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 227.221.22.116 %FWSM-3-710003: tcp access denied by ACL from 227.221.22.116/34505 to acme_Corp:227.221.22.116/749
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 5.121.108.35 %FWSM-6-302013: Built inbound TCP connection 237918712 for acme_Outside:154.223.215.233/33183 (5.121.108.35/33183) to acme_Web:5.121.108.35/80 (5.121.108.35/80)
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 132.124.77.205 %FWSM-6-302015: Built outbound UDP connection 261929631 for acme_Application:132.124.77.205/47417 (132.124.77.205/47417) to acme_Corp:132.124.77.205/53 (132.124.77.205/53)
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 108.178.196.141 %FWSM-6-302015: Built outbound UDP connection 261910095 for acme_Application:108.178.196.141/47226 (108.178.196.141/47226) to acme_Corp:108.178.196.141/53 (108.178.196.141/53)
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 203.133.136.150 %FWSM-3-710003: tcp access denied by ACL from 203.133.136.150/34506 to acme_Corp:203.133.136.150/6005
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 244.145.132.8 %FWSM-6-302014: Teardown TCP connection 230908318 for acme_WinDB:244.145.132.8/3780 to acme_Corp:244.145.132.8/1026 duration 0:06:27 bytes 39972 TCP FINs
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 229.5.100.211 %FWSM-6-302014: Teardown TCP connection 237430881 for acme_Outside:162.62.3.198/41777 to acme_Web:229.5.100.211/23 duration 0:00:00 bytes 376 TCP FINs
","2016-12-06T18:00:00.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:00 218.173.25.221 %FWSM-6-302016: Teardown UDP connection 243691466 for acme_Web:218.173.25.221/45764 to acme_Corp:218.173.25.221/53 duration 0:00:00 bytes 187
","2016-12-06T18:00:00.000+0000"
it,localhost,mint,"mint:network","{""timestamp"": ""1481047201"",""connection"": ""4G"", ""transactions"": [], ""statusCode"": 200, ""platform"": ""android"", ""extraData"": {""jsessionid"": 9297141, ""member"": ""regular"", ""sex"": ""male"", ""color"": ""Blue""}, ""packageName"": ""com.acme.app"", ""apiKey"": ""ef1f7539"", ""requestLength"": 283, ""url"": ""/api/search"", ""screenOrientation"": ""landscape"", ""remoteIP"": ""82.79.194.15"", ""session_id"": 45874334, ""protocol"": ""HTTP"", ""responseLength"": 1284, ""sdkVersion"": ""4.0.8"", ""uuid"": ""5014e36cad204744aae4df682636a712"", ""locale"": ""UK"", ""userIdentifier"": ""jpattersongc"", ""failed"": ""True"", ""exception"": null, ""appVersionName"": ""4.2"", ""osVersion"": 3.5, ""appVersionCode"": 3, ""device"": ""iPad 3"", ""latency"": 245, ""carrier"": ""Sprint"", ""state"": ""connected""}
","2016-12-06T18:00:01.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:01 151.180.23.235 %FWSM-3-710003: tcp access denied by ACL from 151.180.23.235/34505 to acme_Corp:151.180.23.235/1149
","2016-12-06T18:00:01.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:01 103.238.31.54 %FWSM-6-302014: Teardown TCP connection 261910110 for acme_Corp:103.238.31.54/39202 to acme_Application:103.238.31.54/80 duration 0:00:00 bytes 1091 TCP FINs
","2016-12-06T18:00:01.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:01 69.5.154.224 %FWSM-4-313004: Denied ICMP type=11, from laddr 54.0.180.148 on interface acme_Corp to 69.5.154.224: no matching session
","2016-12-06T18:00:01.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 2016 18:00:01 10.2.2.3,mysql-03 : %FWSM-6-302015: Built inbound UDP connection 144547450983443619 for pos:98.149.189.199/53467 (98.149.189.199/53467) to retailnet:98.149.189.199/389 (98.149.189.199/389)
","2016-12-06T18:00:01.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:01 178.228.86.156 %FWSM-6-302014: Teardown TCP connection 230908452 for acme_WinDB:178.228.86.156/3803 to acme_Corp:178.228.86.156/139 duration 0:00:00 bytes 3548 TCP FINs
","2016-12-06T18:00:01.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:01 72.14.13.64 %FWSM-6-302014: Teardown TCP connection 230908430 for acme_Corp:72.14.13.64/4853 to acme_WinDB:72.14.13.64/139 duration 0:00:00 bytes 142 TCP Reset-O
","2016-12-06T18:00:01.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:01 24.15.151.239 %FWSM-6-302013: Built inbound TCP connection 261910098 for acme_Corp:24.15.151.239/39162 (24.15.151.239/39162) to acme_Application:24.15.151.239/80 (24.15.151.239/80)
","2016-12-06T18:00:01.000+0000"
it,"network_span-01","stream:mysql","stream:mysql","{""timestamp"":""2016-12-06T18:00:01.129947"",""user"":""ituckero3"",""bytes"":""1122"",""src_ip"":""224.133.185.72"",""src_port"":""56729"",""dest_ip"":""10.2.2.3"",""dest_port"":""3306"",""time_taken"":""588"",""transport"":""tcp"",""query"":""SELECT * FROM customers WHERE customer_uid=44ade74c-024d-460f-aaaf-dc8a7a59cf87""}
","2016-12-06T18:00:01.129+0000"
it,"network_span-01","stream:mysql","stream:mysql","{""timestamp"":""2016-12-06T18:00:01.274734"",""user"":""vdixon6u"",""bytes"":""1208"",""src_ip"":""61.207.240.45"",""src_port"":""56814"",""dest_ip"":""10.2.2.3"",""dest_port"":""3306"",""time_taken"":""214"",""transport"":""tcp"",""query"":""SELECT * FROM customers WHERE customer_uid=c6a7687f-0897-43eb-8212-90dfb1b06946""}
","2016-12-06T18:00:01.274+0000"
it,"webserver-03","/var/log/custom.log",customlog,"2016-12-06 18:00:02|2|600|297|gduncanex@newsvine.com|30217961044272|76858|D|NSF
","2016-12-06T18:00:02.000+0000"
it,localhost,mint,"mint:network","{""timestamp"": ""1481047202"",""connection"": ""LTE"", ""transactions"": [], ""statusCode"": 200, ""platform"": ""android"", ""extraData"": {""jsessionid"": 6459023, ""member"": ""regular"", ""sex"": ""male"", ""color"": ""Blue""}, ""packageName"": ""com.acme.app"", ""apiKey"": ""ef1f7539"", ""requestLength"": 157, ""url"": ""/api/search"", ""screenOrientation"": ""portrait"", ""remoteIP"": ""208.206.185.47"", ""session_id"": 23593595, ""protocol"": ""HTTP"", ""responseLength"": 1325, ""sdkVersion"": ""4.0.8"", ""uuid"": ""5014e36cad204744aae4df682636a860"", ""locale"": ""UK"", ""userIdentifier"": ""aburke3v"", ""failed"": ""False"", ""exception"": null, ""appVersionName"": ""4.4"", ""osVersion"": 3.5, ""appVersionCode"": 3, ""device"": ""iPhone 6"", ""latency"": 252, ""carrier"": ""Verizon"", ""state"": ""connecting""}
","2016-12-06T18:00:02.000+0000"
it,localhost,mint,"mint:network","{""timestamp"": ""1481047202"",""connection"": ""4G"", ""transactions"": [], ""statusCode"": 200, ""platform"": ""android"", ""extraData"": {""jsessionid"": 6589764, ""member"": ""regular"", ""sex"": ""male"", ""color"": ""Blue""}, ""packageName"": ""com.acme.app"", ""apiKey"": ""ef1f7539"", ""requestLength"": 202, ""url"": ""/api/rest"", ""screenOrientation"": ""portrait"", ""remoteIP"": ""145.206.7.223"", ""session_id"": 53898361, ""protocol"": ""HTTPS"", ""responseLength"": 1088, ""sdkVersion"": ""4.0.8"", ""uuid"": ""5014e36cad204744aae4df682636a492"", ""locale"": ""UK"", ""userIdentifier"": ""glewis8i"", ""failed"": ""True"", ""exception"": null, ""appVersionName"": ""4.5"", ""osVersion"": 3.3, ""appVersionCode"": 5, ""device"": ""iPhone 6 Plus"", ""latency"": 346, ""carrier"": ""Verizon"", ""state"": ""connected""}
","2016-12-06T18:00:02.000+0000"
it,"netapp_db-01","/opt/splunk/etc/apps/SplunkAppforNetApp/_OUT_/log/snap.netapp.log","netapp:perf","12-06-2016 18:00:02  object=""volume"" instance=""netapp_db-01"" api_time_2=1350293610 api_time=1350293605 avg_latency=10220245903597 read_latency=80920113746 read_ops=281295884 write_latency=1718298845457 write_ops=3453491520 other_ops=212571893 avg_latency_2=10220284768546 read_latency_2=2532657421559 read_ops_2=733904120 write_latency_2=1718304589056 write_ops_2=3453515047 other_ops_2=212572352
","2016-12-06T18:00:02.000+0000"
it,"netapp_db-01","/opt/splunk/etc/apps/SplunkAppforNetApp/_OUT_/log/snap.netapp.log","netapp:perf","12-06-2016 18:00:02  object=""volume"" instance=""netapp_db-01"" api_time_2=1350293610 api_time=1350293605 avg_latency=10220245903597 read_latency=70673880032 read_ops=48955492 write_latency=1718298845457 write_ops=3453491520 other_ops=212571893 avg_latency_2=10220284768546 read_latency_2=2532657421559 read_ops_2=733904120 write_latency_2=1718304589056 write_ops_2=3453515047 other_ops_2=212572352
","2016-12-06T18:00:02.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:02 131.73.21.12 %FWSM-6-302014: Teardown TCP connection 237912523 for acme_Outside:123.129.97.88/41745 to acme_Web:131.73.21.12/23 duration 0:00:00 bytes 446 TCP FINs
","2016-12-06T18:00:02.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 2016 18:00:02 10.2.5.1,network_span-01 : %FWSM-6-106100: access-list pos denied icmp pos/197.86.58.246(0) -> retailnet/197.86.58.246(8) hit-cnt 2 (300-second interval) [0xb29ab486, 0x0]
","2016-12-06T18:00:02.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:02 235.60.255.77 %FWSM-6-302013: Built inbound TCP connection 237436825 for acme_Outside:18.118.92.249/34601 (235.60.255.77/34601) to acme_Web:235.60.255.77/443 (235.60.255.77/443)
","2016-12-06T18:00:02.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:02 103.109.35.204 %FWSM-3-710003: tcp access denied by ACL from 103.109.35.204/34505 to acme_Corp:103.109.35.204/8402
","2016-12-06T18:00:02.000+0000"
it,"127.0.0.1","UDP:514","cisco:fwsm","Dec 06 18:00:02 32.69.179.234 %FWSM-6-302015: Built outbound UDP connection 261929481 for acme_Application:32.69.179.234/47416 (32.69.179.234/47416) to acme_Corp:32.69.179.234/53 (32.69.179.234/53)
","2016-12-06T18:00:02.000+0000"
